id,surname,name
v81k1fEAAAAJ,Adamo,Greta
1c5pRcQAAAAJ,Adorni,Giovanni
MfyrTvcAAAAJ,Ahmad,Hafsah
mX7J33sAAAAJ,Ancona,Davide
--krtCgAAAAJ,Ancona,Massimo
8v2Jpf0AAAAJ,Anguita,Davide
h1RL7s4AAAAJ,Aonzo,Simone
ezKhT68AAAAJ,Armando,Alessandro
fB0UMlQAAAAJ,Arnulfo,Gabriele
ztDKjvYAAAAJ,Baglietto,Marco
vBRGCOwAAAAJ,Baglietto,Pierpaolo
7vMvGtsAAAAJ,Ballardini,Giulia
9epB7x0AAAAJ,Ballestin,Giorgio
Q5k0Nr0AAAAJ,Barla,Annalisa
nOQ6DMAAAAAJ,Beltrame,Francesco
cFU6TRwAAAAJ,Bersani,Chiara
ngaTx78AAAAJ,Bertero,Mario
M-vBV5kAAAAJ,Boccacci,Patrizia
QZcVVOEAAAAJ,Boni,Giorgio
zMisBHkAAAAJ,Cabri,Alberto
JRxJkaMAAAAJ,Camurri,Antonio
8YHucJIAAAAJ,Canessa,Andrea
B1dVZWYAAAAJ,Cannata,Giorgio
pmRrT7kAAAAJ,Caputo,Davide
g_Y9OFwAAAAJ,Carratino,Luigi
B23unmcAAAAJ,Casadio,Maura
A9ScTNEAAAAJ,Casalino,Giuseppe
WWHQDdAAAAAJ,Catania,Barbara
Rlc6k70AAAAJ,Chessa,Manuela
ky3gHmYAAAAJ,Cipollini,Francesca
84ccfA0AAAAJ,Coccoli,Mauro
V1hW620AAAAJ,Dagnino,Francesco
vFwd8YoAAAAJ,D'amario,Vanessa
-86FhhQAAAAJ,Dassereto,Federico
hVOrSewAAAAJ,Delzanno,Giorgio
1VFfrQEAAAAJ,Demetrio,Luca
tIongz8AAAAJ,Fato,Marco
PChlpG8AAAAJ,Franceschini,Luca
H_pl6eYAAAAJ,Galofaro,Elisa
j6Ul140AAAAJ,Giacomini,Mauro
s4bqsTkAAAAJ,Giunchiglia,Enrico
2c1jTiYAAAAJ,Gonzalez,Jonas
QZ5icsMAAAAJ,Grilli,Federica
wZtu8FYAAAAJ,Guerrini,Giovanna
3RtDhzAAAAAJ,Guidotti,Dario
MRIAQdAAAAAJ,Hussain,Razeen
XcwCxiEAAAAJ,Iacono,Saverio
9Nq_lpsAAAAJ,Indiveri,Giovanni
MnPflUkAAAAJ,Kamal,Nabeel
n010PrAAAAAJ,Leotta,Maurizio
ZhaHBUMAAAAJ,Maiettini,Elisa
FmYjiNAAAAAJ,Maratea,Marco
_J0Ub6YAAAAJ,Maresca,Massimo
yIi8KaEAAAAJ,Martelli,Maurizio
X_9f9kkAAAAJ,Martinoia,Sergio
fU0A1uIAAAAJ,Mascardi,Viviana
wnfBiRwAAAAJ,Massobrio,Paolo
9dRRzV0AAAAJ,Mastrogiovanni,Fulvio
DxovdUEAAAAJ,Masulli,Francesco
JYVoKR8AAAAJ,Melle,Giovanni
U2dL0J0AAAAJ,Menapace,Marco
d69EGpEAAAAJ,Moggi,Eugenio
o_q9FmcAAAAJ,Moscoso,Thompson Elia
qVe_haIAAAAJ,Mouawad,Issa
61N6CM8AAAAJ,Narizzano,Massimo
7i3HX4wAAAAJ,Noceti,Nicoletta
riK7DscAAAAJ,Odone,Francesca
sJnDt5AAAAAJ,Olianas,Dario
6iuNKAIAAAAJ,Oneto,Luca
dHqPcS0AAAAJ,Paolucci,Massimo
2uIDJzUAAAAJ,Puppo,Enrico
MsicRIAAAAAJ,Quilez,Ana Isabel
taZMwF4AAAAJ,Raiteri,Roberto
c4kEyosAAAAJ,Recchiuto,Carmine
j-9jDOIAAAAJ,Reggio,Gianna
42uk7BMAAAAJ,Ribaudo,Marina
FjWyBXsAAAAJ,Ricca,Filippo
baTT1PwAAAAJ,Robba,Michela
quJBh1EAAAAJ,Rosasco,Lorenzo
7nlRez0AAAAJ,Rovetta,Stefano
8CFN86YAAAAJ,Ruggiero,Carmelina
haXaGIcAAAAJ,Sacile,Roberto
1v5fdeAAAAAJ,Sacone,Simona
C3zhGhQAAAAJ,Sanguineti,Marcello
rhcxRrQAAAAJ,Sanguineti,Vittorio
hRXNdp0AAAAJ,Sgorbissa,Antonio
C_OlT3MAAAAJ,Simetti,Enrico
-AbpUDEAAAAJ,Singh,Akash
K7gcF24AAAAJ,Siri,Silvia
Wm5rLycAAAAJ,Solari,Fabio
RoPfjkMAAAAJ,Syed Yusha,Kareem
QEGbLC0AAAAJ,Tacchella,Armando
aPSLBVUAAAAJ,Thomas,Antony
tkwkS-kAAAAJ,Thomas,Cris
nMzsTbsAAAAJ,Torre,Ilaria
mTZf_NEAAAAJ,Tozzo,Veronica
o84MmRcAAAAJ,Valenza,Andrea
B19jA14AAAAJ,Vercelli,Gianni
sm7utHwAAAAJ,Verri,Alessandro
dAZOMB8AAAAJ,Volpe,Gualtiero
-QcsVPgAAAAJ,Vuotto,Simone
tocnT2EAAAAJ,Zaccaria,Renato
0pe6kCgAAAAJ,Zucca,Elena
